gid;id_com;code_arm;coddep;ident;id_cad;adresse;pos_rese;marque;etat_foy;type_amp;plamp;boite_cl;cable_de_t;type_app;code_sup;type_sup;etat_sup;commun_edf;hauteur;crosse;etat_cro;commenta;source;dat_source;id_cad_2;boitier_cl;class_lum;cod_dep;cos_p;id_cad_1;idnum;inten;malt_cand;mode;prise_ilum;puis;tens;vasque;color_coff;date_valid;modified_b;lon;lat
25048;840087;145;;036;036020171226145429;;;;;BF;125;;;;;;;;0,0;0,0;Correct;PHOTO 1;;;;LOTISSEMENT;d;;0,0;036020171226145429;0;0,0;AERO/S;;/;0;2;Sale;#9E81DE;;;844684,5444704122;6339514,278398744
25049;840087;214;;036;036020180110111249;;;VOIR PH 100-1;;LED;42;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ROUTE DE JONQUIERES;c;;0,0;036020180110111249;0;0,0;S;;/;0;6;Correct;#D2D2F0;;;846796,4446961912;6337697,68559927
25050;840087;234;;001;001020180122143409;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE CINSAULT;a;;0,0;001020180122143409;0;0,2;S;BTX;/;0;7;Correct;#99D4D7;;;847713,4383522803;6336809,749724976
25051;840087;014;;001;001020180122153002;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV DU MARECHAL FOCH;a;;0,0;001020180122153002;0;1,0;S;BTX;/;0;7;Correct;#9B3CEB;;;845131,6859437346;6338747,743744622
25052;840087;112;;001;001020180125101607;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV DE VERDUN;a;;0,0;001020180125101607;0;1,0;S;BTX;/;0;7;Correct;#97ED90;;;845635,5282651845;6338322,68055494
25053;840087;X14;;001;001020180125161217;;;BOULE;;BF;125;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;IMP CH DE MEYNE CLAIRE;a;;0,0;001020180125161217;0;0,0;S;OPALE;NON;0;3;Sale;#127A1E;;;846601,3960280371;6338199,133243272
25054;840087;X17;;001;001020180129120450;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;RUE ROUSSANNE;a;;0,0;001020180129120450;0;0,2;S;BTX;/;0;6;Correct;#39E6CE;;;847392,0417237574;6336490,241135479
25055;840087;X16;;001;001020180129124043;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV SAINT MARC;b;;0,0;001020180129124043;0;0,2;S;PIXEL;/;0;7;Correct;#4A248D;;;846227,0899333495;6336902,8354662955
25056;840087;235;;001;001020180129141837;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE PICARDAN;a;;0,0;001020180129141837;0;0,2;S;BTX;/;0;7;Correct;#FD91A0;;;848004,985444767;6336514,894015465
25057;840087;003;;001;001020180129145047;;;ECLATEC;;LED;40;;;;;;;Oui (Tresse);0,0;0,0;Correct;PHOTO  0016;;;;ALLEE DU DR RASSAT;a;;0,0;001020180129145047;0;0,0;S;PIXEL;/;0;6;Correct;#BDD397;;;844796,2022564639;6338460,505579967
25058;840087;114;;001;001020180129154717;;;ECLATEC;;IM;100;;;;;;;/;0,0;0,0;Sans objet;;;;;IMP AV FREDERIC MISTRAL;a;;0,0;001020180129154717;0;1,0;AT 2fils;BTX;NON;0;5;Correct;#FA1B45;;;845380,9806936893;6339294,1641661255
25059;840087;161;;001;001020180130104302;;;DISANO;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;IMP DES PRES DE CROZE;a;;0,0;001020180130104302;0;0,0;S;CLIMA;/;0;3;Correct;#89564D;;;843964,5716293782;6338174,363985066
25060;840087;X18;;001;001020180130115327;;;PH101-7-8;;LED;24;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE MAGENTA;a;;0,0;001020180130115327;0;0,0;S;;/;0;3;Correct;#77C1CD;;;843948,6923846833;6337225,207603071
25061;840087;X19;;001;001020180130141417;;;SCHREDER;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DU TAMBOUR D'ARCOLE;a;;0,0;001020180130141417;0;0,0;S;SINTRA;/;0;5;Correct;#D3F2C1;;;844045,8341746702;6336655,354153167
25062;840087;X20;;001;001020180130144206;;;ECLATEC;;LED;64;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;LE CLOS LAFONT DU GRES;a;;0,0;001020180130144206;0;0,2;S;PIXEL;/;0;5;Correct;#5E0C8D;;;844224,7084735306;6336750,045612868
25063;840087;X21;;001;001020180130150236;;;ECLATEC;;SHP;70;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;LE CLOS DES SERRES;a;;0,0;001020180130150236;0;0,0;S;AURIS;/;0;5;Correct;#ABA35C;;;844218,1545626933;6336914,7096506655
25064;840087;122;;036;036020180111115241;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DE PROVENCE;c;;0,0;036020180111115241;0;0,2;S;BTX;/;0;6;Correct;#12957D;;;844931,2289825073;6339543,19605688
25065;840087;222;;001;001020180201162430;;;VIEUX LUMINAIRE;;BF;125;;;;;;;/;0,0;0,0;Correct;;;;;CH DE BEL ENFANTS;b;;0,0;001020180201162430;0;1,5;AT 2fils;;NON;0;7;Correct;#1CA150;;;844226,5850843657;6337568,58935412
25066;840087;229;;001;001020180208102935;;;THORN;;BF;250;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;PARKING PISCINE;a;;0,0;001020180208102935;0;0,3;S;CA 5000;NON;0;5;Absente;#98A0DD;;;843746,5865524611;6338969,183103135
25067;840087;X23;;001;001020180208115124;;;ECLATEC;;LED;24;;;;;;;Oui (Tresse);0,0;0,0;Correct;PH102-7-8 \ PARAFOUDRE DSLP1-230L;;;;PARC SALLE DES FETES;a;;0,0;001020180208115124;0;0,0;S;BUZZ;/;0;4;Correct;#68E96A;;;843922,1032671251;6339048,236958115
25068;840087;X24;;001;001020180208164215;;;BOULE;;BF;125;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;LOTISSEMENT;a;;0,0;001020180208164215;0;0,0;S;OPALE;/;0;4;Sale;#FCC3FC;;;847634,5801932949;6339630,658572454
25069;840087;057;;036;036020180111144458;;;SCHREDER;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;ROND POINT ROUTE DE JONQUIERES;c;;0,0;036020180111144458;0;0,0;S;DZ 15;/;0;8;Correct;#C4C68D;;;847660,7853885398;6337384,503887877
25070;840087;072;;001;001020180215155213;;;PHOTO 1;;IM;100;;;;;;;Non;0,0;0,0;Correct;PHOTO 1;;;;AV DE FOURCHEVIELLES;b;;0,0;001020180215155213;0;1,0;AT 2fils;;/;0;7;Absente;#D7EDF0;;;844303,539410315;6340164,348104246
25071;840087;031;;001;00103120170704160944;;;ECLATEC;;CDO;100;;;;;;;;0,0;0,0;;;;;00103120170704160944;;;;0,0;;0;0,0;;BTX 173;;0;0;Correcte;#E770F8;;;845243,8443297804;6338242,531902466
25072;840087;032;;001;00103220170705090537;;;ECLATEC;;CDO;100;;;;;;;;0,0;0,0;;;;;00103220170705090537;;;;0,0;;0;0,0;;BTX 173;;0;0;Correcte;#5F4FCF;;;845478,9801513572;6337872,420855173
25073;840087;041;;001;00104120170704131119;;;SCHREDER;;SHP;150;;;;;;;;0,0;0,0;;;;;00104120170704131119;;;;0,0;;0;0,0;;Z2;;0;0;Correcte;#39D723;;;845093,4745812755;6338528,375739345
25074;840087;042;;001;00104220170704095901;;;BOULE;;SHP;70;;;;;;;;0,0;0,0;;Lampe éteinte DEMANDE GENDARME;;;00104220170704095901;;;;0,0;;0;0,0;;Opale;;0;0;Sale;#204F6B;;;845145,4135150707;6338706,437836531
25075;840087;142;;001;00114220170706153913;;;SCHREDER;;SHP;70;;;;;;;;0,0;0,0;;PH 106-036-037-038 \ A LA TERRE (TRESSE);;;00114220170706153913;;;;0,0;;0;0,0;;SAPHIR;;0;0;Correcte;#368A8C;;;843884,043531471;6337355,391405968
25076;840087;103;;036;036020180116102523;;;ECLATEC;;SHP;150;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE YVONNE PERTAT;a;;0,0;036020180116102523;0;0,0;S;BTX;/;0;7;Correct;#EADFDC;;;845720,7103454246;6337478,295775924
25077;840087;024;;036;036020180116132209;;;ECLATEC;;LED;18;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE SANTOS DUMONT;c;;0,0;036020180116132209;0;0,0;S;TWEET;/;0;6;Correct;#1BCE93;;;846252,9772445789;6337289,664871643
25078;840087;102;;036;036020180116165000;;;ECLATEC;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AVENUE DE VERDUN;d;;0,0;036020180116165000;0;1,0;S;BTX;/;0;8;Correct;#B3C171;;;846133,4610079203;6337905,662657121
25079;840087;256;;036;036020180116174250;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV SAINT MARC;c;;0,0;036020180116174250;0;0,2;S;PIXEL;/;0;7;Correct;#53C42B;;;845931,7963983655;6336782,762406659
25080;840087;X10;;036;036020180117104342;;;ECLATEC;;IM;70;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ALLEE CHARDONNAY;a;;0,0;036020180117104342;0;0,2;S;BTX;/;0;5;Correct;#97EBC0;;;845872,823789581;6336956,867601
25081;840087;056;;036;036020180117144834;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DE MEYNE CLAIRE;d;;0,0;036020180117144834;0;0,2;S;BTX;/;0;5;Correct;#CFBB95;;;846098,041712878;6338200,4270369075
25082;840087;112;;036;036020180125113828;;;ECLATEC;;IM;100;;;;;;;/;0,0;0,0;Sans objet;;;;;RUE DES VOGES;b;;0,0;036020180125113828;0;0,7;AT 5fils;PIXEL;OUI;0;5;Correct;#97ED90;;;845600,3684386308;6338319,071376245
25083;840087;X16;;036;036020180129130322;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV SAINT MARC;a;;0,0;036020180129130322;0;0,2;S;PIXEL;/;0;7;Correct;#4A248D;;;846982,1980404747;6337217,011790703
25084;840087;235;;036;036020180129145451;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;GIRATOIRE SYRAH;c;;0,0;036020180129145451;0;0,2;S;BTX;/;0;7;Correct;#FD91A0;;;848107,7744339608;6336577,249019283
25085;840087;232;;001;001020180215104111;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;N7;a;;0,0;001020180215104111;0;1,0;S;BTX;/;0;6;Correct;#8BA948;;;843958,7277548695;6341399,03299689
25086;840087;013;;116;001020180208104539;;;ECLATEC ZELDA;;LED;79;;;;;;;/;0,0;0,0;Vétuste;;;;;CH DE QUEYRADEL;d;;0,0;001020180208104539;0;0,5;AERO/S;EPA;OUI;0;7;Absente;#326FB0;;;843761,8225314934;6338995,692336296
25087;840087;003;;036;036020180129153616;;;SCHREDER;;LED;32;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;PARC;a;;0,0;036020180129153616;0;0,0;S;HAPILED;/;0;4;Correct;#BDD397;;;844745,3652626254;6338932,471915876
25088;840087;114;;036;036020180129163012;;;ECLATEC;;IM;100;;;;;;;/;0,0;0,0;Sans objet;;;;;RUE DUGAT;b;;0,0;036020180129163012;0;0,2;F;BTX;/;0;5;Correct;#FA1B45;;;845229,4351733655;6339406,2007901985
25089;840087;X18;;036;036020180130120234;;;PH101-7-8;;LED;48;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE POURPRE;b;;0,0;036020180130120234;0;0,0;S;;/;0;6;Correct;#77C1CD;;;844014,6422334692;6337115,74338093
25090;840087;X23;;036;036020180208121846;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;PARKING SALLE DES FETES;b;;0,0;036020180208121846;0;0,2;S;BTX;/;0;6;Correct;#68E96A;;;844003,0859618348;6338982,723219309
25091;840087;072;;036;036020180215150224;;;INDAL;;SHP;150;;;;;;;Oui (Tresse);0,0;0,0;Moyen;PHOTO 7;;;;RESIDENCE LES ACACIAS;a;;0,0;036020180215150224;0;0,0;S;IVA;/;0;5;Absente;#D7EDF0;;;844245,8672116231;6340393,426244123
25092;840087;032;;036;03603220170705100104;;;MAZDA;;SHP;100;;;;;;;;0,0;0,0;;;;;03603220170705100104;;;;0,0;;0;0,0;;;;0;0;Correcte;#5F4FCF;;;845278,738182499;6337597,646297233
25093;840087;042;;036;03604220170704104355;;;LANTERNE DE STYLE (AR);;SHP;100;;;;;;;;0,0;0,0;;;;;03604220170704104355;;;;0,0;;0;0,0;;;;0;0;Sale;#204F6B;;;845051,9541688317;6338772,582543757
25094;840087;205;;036;036B20520170711170929;;;VIEUX LUMINAIRE;VETUSTE;SHP;100;;;;;;;/;0,0;0,0;;Lampe éteinte;;;036B20520170711170929;NON (S);;B;0,0;;0;0,0;NON;;NON;0;0;ABSENTE;#A77250;;;843688,7699248343;6339174,917007215
25095;840087;142;;036;036D14220170710144849;;;ECLATEC;CORRECT;SHP;100;;;;;;;/;0,0;0,0;;;;;036D14220170710144849;OUI (S);;D;0,0;;0;0,0;OUI (TRESSE);BTX;NON;0;0;ABSENTE;#368A8C;;;844091,7571434499;6337213,665578554
25096;840087;013;;036;036a01320170831161238;;;ECLATEC;Correct;IM;100;;;;;;;/;0,0;0,0;correct;;;;036a01320170831161238;Oui (A) Fusible;;a;0,0;;0;0,0;/;BTX;NON;0;0;Correct;#28347E;;;843939,9289777741;6339207,790736132
