id,ligne,gare_depart,destination,position_gps,heure_de_captage
19,38,Gare du Nord,Châtelet,"48.84537,2.34956",01/07/2025 06:59
19,38,Châtelet,Luxembourg,"48.84856,2.34172",01/07/2025 07:04
19,38,Luxembourg,Raspail,"48.84276,2.35780",01/07/2025 07:09
19,38,Raspail,Alésia,"48.85634,2.35481",01/07/2025 07:14
19,38,Alésia,Porte d'Orléans,"48.84922,2.35106",01/07/2025 07:19
20,38,Gare du Nord,Châtelet,"48.84282,2.35536",01/07/2025 07:02
20,38,Châtelet,Luxembourg,"48.84556,2.34787",01/07/2025 07:07
20,38,Luxembourg,Raspail,"48.85395,2.35424",01/07/2025 07:12
20,38,Raspail,Alésia,"48.84758,2.34202",01/07/2025 07:17
20,38,Alésia,Porte d'Orléans,"48.84159,2.35956",01/07/2025 07:22
21,47,Fort du Kremlin,Ivry,"48.85363,2.35023",01/07/2025 07:05
21,47,Ivry,Place d'Italie,"48.85186,2.35018",01/07/2025 07:10
21,47,Place d'Italie,Gare d'Austerlitz,"48.85164,2.34165",01/07/2025 07:15
21,47,Gare d'Austerlitz,Hôtel de Ville,"48.85008,2.35279",01/07/2025 07:20
21,47,Hôtel de Ville,Châtelet,"48.85980,2.35536",01/07/2025 07:25
22,47,Fort du Kremlin,Ivry,"48.84094,2.35539",01/07/2025 07:08
22,47,Ivry,Place d'Italie,"48.84349,2.35758",01/07/2025 07:13
22,47,Place d'Italie,Gare d'Austerlitz,"48.84989,2.34538",01/07/2025 07:18
22,47,Gare d'Austerlitz,Hôtel de Ville,"48.84677,2.35153",01/07/2025 07:23
22,47,Hôtel de Ville,Châtelet,"48.84649,2.34738",01/07/2025 07:28
23,47,Fort du Kremlin,Ivry,"48.85084,2.35438",01/07/2025 07:11
23,47,Ivry,Place d'Italie,"48.84222,2.34552",01/07/2025 07:16
23,47,Place d'Italie,Gare d'Austerlitz,"48.85270,2.34834",01/07/2025 07:21
23,47,Gare d'Austerlitz,Hôtel de Ville,"48.84029,2.35042",01/07/2025 07:26
23,47,Hôtel de Ville,Châtelet,"48.85901,2.35556",01/07/2025 07:31
24,47,Fort du Kremlin,Ivry,"48.85168,2.34613",01/07/2025 07:14
24,47,Ivry,Place d'Italie,"48.85867,2.34992",01/07/2025 07:19
24,47,Place d'Italie,Gare d'Austerlitz,"48.85477,2.34164",01/07/2025 07:24
24,47,Gare d'Austerlitz,Hôtel de Ville,"48.85138,2.34973",01/07/2025 07:29
24,47,Hôtel de Ville,Châtelet,"48.85041,2.34956",01/07/2025 07:34
25,47,Fort du Kremlin,Ivry,"48.84575,2.34507",01/07/2025 07:17
25,47,Ivry,Place d'Italie,"48.85123,2.35375",01/07/2025 07:22
25,47,Place d'Italie,Gare d'Austerlitz,"48.85249,2.35822",01/07/2025 07:27
25,47,Gare d'Austerlitz,Hôtel de Ville,"48.85014,2.35864",01/07/2025 07:32
25,47,Hôtel de Ville,Châtelet,"48.85903,2.34642",01/07/2025 07:37
26,47,Fort du Kremlin,Ivry,"48.85586,2.35119",01/07/2025 07:20
26,47,Ivry,Place d'Italie,"48.84576,2.35050",01/07/2025 07:25
26,47,Place d'Italie,Gare d'Austerlitz,"48.85483,2.35007",01/07/2025 07:30
26,47,Gare d'Austerlitz,Hôtel de Ville,"48.85862,2.34323",01/07/2025 07:35
26,47,Hôtel de Ville,Châtelet,"48.85985,2.34150",01/07/2025 07:40
27,47,Fort du Kremlin,Ivry,"48.85445,2.34807",01/07/2025 07:23
27,47,Ivry,Place d'Italie,"48.85727,2.34142",01/07/2025 07:28
27,47,Place d'Italie,Gare d'Austerlitz,"48.85298,2.34736",01/07/2025 07:33
27,47,Gare d'Austerlitz,Hôtel de Ville,"48.85147,2.34171",01/07/2025 07:38
27,47,Hôtel de Ville,Châtelet,"48.85141,2.35762",01/07/2025 07:43
28,47,Fort du Kremlin,Ivry,"48.84797,2.34916",01/07/2025 07:26
28,47,Ivry,Place d'Italie,"48.84872,2.34336",01/07/2025 07:31
28,47,Place d'Italie,Gare d'Austerlitz,"48.85476,2.35054",01/07/2025 07:36
28,47,Gare d'Austerlitz,Hôtel de Ville,"48.85724,2.35555",01/07/2025 07:41
28,47,Hôtel de Ville,Châtelet,"48.84225,2.34791",01/07/2025 07:46
29,47,Fort du Kremlin,Ivry,"48.84760,2.35245",01/07/2025 07:29
29,47,Ivry,Place d'Italie,"48.85972,2.35335",01/07/2025 07:34
29,47,Place d'Italie,Gare d'Austerlitz,"48.85430,2.34980",01/07/2025 07:39
29,47,Gare d'Austerlitz,Hôtel de Ville,"48.85173,2.35070",01/07/2025 07:44
29,47,Hôtel de Ville,Châtelet,"48.84866,2.35212",01/07/2025 07:49
30,47,Fort du Kremlin,Ivry,"48.84991,2.35574",01/07/2025 07:32
30,47,Ivry,Place d'Italie,"48.84911,2.34958",01/07/2025 07:37
30,47,Place d'Italie,Gare d'Austerlitz,"48.84136,2.35916",01/07/2025 07:42
30,47,Gare d'Austerlitz,Hôtel de Ville,"48.84068,2.34668",01/07/2025 07:47
30,47,Hôtel de Ville,Châtelet,"48.85593,2.35546",01/07/2025 07:52
31,63,Porte de la Muette,La Muette,"48.84134,2.34107",01/07/2025 07:35
31,63,La Muette,Trocadéro,"48.84747,2.35843",01/07/2025 07:40
31,63,Trocadéro,Invalides,"48.85421,2.34686",01/07/2025 07:45
31,63,Invalides,Gare d'Austerlitz,"48.84349,2.35263",01/07/2025 07:50
31,63,Gare d'Austerlitz,Gare de Lyon,"48.85337,2.35689",01/07/2025 07:55
32,63,Porte de la Muette,La Muette,"48.85648,2.34143",01/07/2025 07:38
32,63,La Muette,Trocadéro,"48.84459,2.35494",01/07/2025 07:43
32,63,Trocadéro,Invalides,"48.85121,2.34088",01/07/2025 07:48
32,63,Invalides,Gare d'Austerlitz,"48.84061,2.34092",01/07/2025 07:53
32,63,Gare d'Austerlitz,Gare de Lyon,"48.85093,2.34194",01/07/2025 07:58
33,63,Porte de la Muette,La Muette,"48.84882,2.34520",01/07/2025 07:41
33,63,La Muette,Trocadéro,"48.85418,2.35050",01/07/2025 07:46
33,63,Trocadéro,Invalides,"48.85994,2.34265",01/07/2025 07:51
33,63,Invalides,Gare d'Austerlitz,"48.85799,2.34677",01/07/2025 07:56
33,63,Gare d'Austerlitz,Gare de Lyon,"48.84951,2.34094",01/07/2025 08:01
34,63,Porte de la Muette,La Muette,"48.84238,2.34458",01/07/2025 07:44
34,63,La Muette,Trocadéro,"48.84961,2.35078",01/07/2025 07:49
34,63,Trocadéro,Invalides,"48.84499,2.34012",01/07/2025 07:54
34,63,Invalides,Gare d'Austerlitz,"48.85870,2.35158",01/07/2025 07:59
34,63,Gare d'Austerlitz,Gare de Lyon,"48.84853,2.34209",01/07/2025 08:04
35,63,Porte de la Muette,La Muette,"48.84695,2.34831",01/07/2025 07:47
35,63,La Muette,Trocadéro,"48.84773,2.34842",01/07/2025 07:52
35,63,Trocadéro,Invalides,"48.85228,2.34187",01/07/2025 07:57
35,63,Invalides,Gare d'Austerlitz,"48.85579,2.35477",01/07/2025 08:02
35,63,Gare d'Austerlitz,Gare de Lyon,"48.84233,2.34731",01/07/2025 08:07
36,63,Porte de la Muette,La Muette,"48.85173,2.35196",01/07/2025 07:50
36,63,La Muette,Trocadéro,"48.84686,2.35452",01/07/2025 07:55
36,63,Trocadéro,Invalides,"48.84031,2.35048",01/07/2025 08:00
36,63,Invalides,Gare d'Austerlitz,"48.84666,2.35598",01/07/2025 08:05
36,63,Gare d'Austerlitz,Gare de Lyon,"48.85447,2.34084",01/07/2025 08:10
37,63,Porte de la Muette,La Muette,"48.85953,2.35233",01/07/2025 07:53
37,63,La Muette,Trocadéro,"48.84141,2.34771",01/07/2025 07:58
37,63,Trocadéro,Invalides,"48.85683,2.35468",01/07/2025 08:03
37,63,Invalides,Gare d'Austerlitz,"48.84682,2.34908",01/07/2025 08:08
37,63,Gare d'Austerlitz,Gare de Lyon,"48.85138,2.34858",01/07/2025 08:13
38,63,Porte de la Muette,La Muette,"48.84099,2.35969",01/07/2025 07:56
38,63,La Muette,Trocadéro,"48.84989,2.34616",01/07/2025 08:01
38,63,Trocadéro,Invalides,"48.84594,2.34206",01/07/2025 08:06
38,63,Invalides,Gare d'Austerlitz,"48.84974,2.35189",01/07/2025 08:11
38,63,Gare d'Austerlitz,Gare de Lyon,"48.84334,2.35087",01/07/2025 08:16
39,63,Porte de la Muette,La Muette,"48.84466,2.35605",01/07/2025 07:59
39,63,La Muette,Trocadéro,"48.85207,2.34175",01/07/2025 08:04
39,63,Trocadéro,Invalides,"48.85883,2.35095",01/07/2025 08:09
39,63,Invalides,Gare d'Austerlitz,"48.84533,2.35293",01/07/2025 08:14
39,63,Gare d'Austerlitz,Gare de Lyon,"48.85541,2.34494",01/07/2025 08:19
40,63,Porte de la Muette,La Muette,"48.85196,2.34482",01/07/2025 08:02
40,63,La Muette,Trocadéro,"48.84363,2.35217",01/07/2025 08:07
40,63,Trocadéro,Invalides,"48.85391,2.35356",01/07/2025 08:12
40,63,Invalides,Gare d'Austerlitz,"48.85241,2.35048",01/07/2025 08:17
40,63,Gare d'Austerlitz,Gare de Lyon,"48.85563,2.35796",01/07/2025 08:22
41,72,Hôtel de Ville,Concorde,"48.84405,2.34521",01/07/2025 08:05
41,72,Concorde,Pont de l'Alma,"48.84193,2.35052",01/07/2025 08:10
41,72,Pont de l'Alma,Musée du quai Branly,"48.85887,2.34736",01/07/2025 08:15
41,72,Musée du quai Branly,Pont Mirabeau,"48.84686,2.35779",01/07/2025 08:20
41,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85551,2.35966",01/07/2025 08:25
42,72,Hôtel de Ville,Concorde,"48.85857,2.35160",01/07/2025 08:08
42,72,Concorde,Pont de l'Alma,"48.84060,2.34567",01/07/2025 08:13
42,72,Pont de l'Alma,Musée du quai Branly,"48.84808,2.35775",01/07/2025 08:18
42,72,Musée du quai Branly,Pont Mirabeau,"48.84571,2.35451",01/07/2025 08:23
42,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85315,2.34504",01/07/2025 08:28
43,72,Hôtel de Ville,Concorde,"48.85820,2.34049",01/07/2025 08:11
43,72,Concorde,Pont de l'Alma,"48.84698,2.34926",01/07/2025 08:16
43,72,Pont de l'Alma,Musée du quai Branly,"48.85630,2.34259",01/07/2025 08:21
43,72,Musée du quai Branly,Pont Mirabeau,"48.84357,2.35915",01/07/2025 08:26
43,72,Pont Mirabeau,Parc de Saint-Cloud,"48.84400,2.34455",01/07/2025 08:31
44,72,Hôtel de Ville,Concorde,"48.85672,2.34440",01/07/2025 08:14
44,72,Concorde,Pont de l'Alma,"48.85765,2.35527",01/07/2025 08:19
44,72,Pont de l'Alma,Musée du quai Branly,"48.85086,2.35647",01/07/2025 08:24
44,72,Musée du quai Branly,Pont Mirabeau,"48.85580,2.35293",01/07/2025 08:29
44,72,Pont Mirabeau,Parc de Saint-Cloud,"48.84953,2.34054",01/07/2025 08:34
45,72,Hôtel de Ville,Concorde,"48.84727,2.35762",01/07/2025 08:17
45,72,Concorde,Pont de l'Alma,"48.84272,2.35715",01/07/2025 08:22
45,72,Pont de l'Alma,Musée du quai Branly,"48.85461,2.34632",01/07/2025 08:27
45,72,Musée du quai Branly,Pont Mirabeau,"48.85973,2.34507",01/07/2025 08:32
45,72,Pont Mirabeau,Parc de Saint-Cloud,"48.84291,2.35048",01/07/2025 08:37
46,72,Hôtel de Ville,Concorde,"48.84939,2.34852",01/07/2025 08:20
46,72,Concorde,Pont de l'Alma,"48.84624,2.35678",01/07/2025 08:25
46,72,Pont de l'Alma,Musée du quai Branly,"48.84222,2.34237",01/07/2025 08:30
46,72,Musée du quai Branly,Pont Mirabeau,"48.85150,2.34476",01/07/2025 08:35
46,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85250,2.34592",01/07/2025 08:40
47,72,Hôtel de Ville,Concorde,"48.84923,2.34453",01/07/2025 08:23
47,72,Concorde,Pont de l'Alma,"48.85263,2.34071",01/07/2025 08:28
47,72,Pont de l'Alma,Musée du quai Branly,"48.85097,2.34322",01/07/2025 08:33
47,72,Musée du quai Branly,Pont Mirabeau,"48.85369,2.34194",01/07/2025 08:38
47,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85279,2.34536",01/07/2025 08:43
48,72,Hôtel de Ville,Concorde,"48.85102,2.34935",01/07/2025 08:26
48,72,Concorde,Pont de l'Alma,"48.85649,2.35124",01/07/2025 08:31
48,72,Pont de l'Alma,Musée du quai Branly,"48.84706,2.34836",01/07/2025 08:36
48,72,Musée du quai Branly,Pont Mirabeau,"48.84165,2.34081",01/07/2025 08:41
48,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85376,2.34374",01/07/2025 08:46
49,72,Hôtel de Ville,Concorde,"48.85605,2.35794",01/07/2025 08:29
49,72,Concorde,Pont de l'Alma,"48.84336,2.34519",01/07/2025 08:34
49,72,Pont de l'Alma,Musée du quai Branly,"48.85254,2.34852",01/07/2025 08:39
49,72,Musée du quai Branly,Pont Mirabeau,"48.84203,2.34899",01/07/2025 08:44
49,72,Pont Mirabeau,Parc de Saint-Cloud,"48.85488,2.34185",01/07/2025 08:49
50,72,Hôtel de Ville,Concorde,"48.84591,2.35180",01/07/2025 08:32
50,72,Concorde,Pont de l'Alma,"48.85570,2.34216",01/07/2025 08:37
50,72,Pont de l'Alma,Musée du quai Branly,"48.84835,2.34529",01/07/2025 08:42
50,72,Musée du quai Branly,Pont Mirabeau,"48.84096,2.34661",01/07/2025 08:47
50,72,Pont Mirabeau,Parc de Saint-Cloud,"48.84408,2.34516",01/07/2025 08:52
51,82,Luxembourg,Montparnasse,"48.84548,2.34800",01/07/2025 08:35
51,82,Montparnasse,Invalides,"48.84761,2.35149",01/07/2025 08:40
51,82,Invalides,Charles de Gaulle Étoile,"48.84946,2.34828",01/07/2025 08:45
51,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.85725,2.34023",01/07/2025 08:50
51,82,Bois de Boulogne,Neuilly,"48.84656,2.35280",01/07/2025 08:55
52,82,Luxembourg,Montparnasse,"48.84945,2.34863",01/07/2025 08:38
52,82,Montparnasse,Invalides,"48.84353,2.35723",01/07/2025 08:43
52,82,Invalides,Charles de Gaulle Étoile,"48.85171,2.35413",01/07/2025 08:48
52,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84771,2.35089",01/07/2025 08:53
52,82,Bois de Boulogne,Neuilly,"48.84660,2.35758",01/07/2025 08:58
53,82,Luxembourg,Montparnasse,"48.84453,2.35997",01/07/2025 08:41
53,82,Montparnasse,Invalides,"48.84823,2.35782",01/07/2025 08:46
53,82,Invalides,Charles de Gaulle Étoile,"48.84593,2.35599",01/07/2025 08:51
53,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.85459,2.34265",01/07/2025 08:56
53,82,Bois de Boulogne,Neuilly,"48.85372,2.34827",01/07/2025 09:01
54,82,Luxembourg,Montparnasse,"48.84115,2.35583",01/07/2025 08:44
54,82,Montparnasse,Invalides,"48.84196,2.35218",01/07/2025 08:49
54,82,Invalides,Charles de Gaulle Étoile,"48.85033,2.35514",01/07/2025 08:54
54,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84961,2.35701",01/07/2025 08:59
54,82,Bois de Boulogne,Neuilly,"48.85927,2.34148",01/07/2025 09:04
55,82,Luxembourg,Montparnasse,"48.85522,2.35576",01/07/2025 08:47
55,82,Montparnasse,Invalides,"48.84767,2.35968",01/07/2025 08:52
55,82,Invalides,Charles de Gaulle Étoile,"48.85065,2.35550",01/07/2025 08:57
55,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84006,2.34950",01/07/2025 09:02
55,82,Bois de Boulogne,Neuilly,"48.85362,2.34920",01/07/2025 09:07
56,82,Luxembourg,Montparnasse,"48.85504,2.35088",01/07/2025 08:50
56,82,Montparnasse,Invalides,"48.85020,2.35688",01/07/2025 08:55
56,82,Invalides,Charles de Gaulle Étoile,"48.85665,2.35625",01/07/2025 09:00
56,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.85079,2.35183",01/07/2025 09:05
56,82,Bois de Boulogne,Neuilly,"48.84307,2.35151",01/07/2025 09:10
57,82,Luxembourg,Montparnasse,"48.85738,2.35884",01/07/2025 08:53
57,82,Montparnasse,Invalides,"48.85327,2.35198",01/07/2025 08:58
57,82,Invalides,Charles de Gaulle Étoile,"48.85837,2.34577",01/07/2025 09:03
57,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84061,2.35641",01/07/2025 09:08
57,82,Bois de Boulogne,Neuilly,"48.84630,2.34050",01/07/2025 09:13
58,82,Luxembourg,Montparnasse,"48.84367,2.35123",01/07/2025 08:56
58,82,Montparnasse,Invalides,"48.85313,2.35558",01/07/2025 09:01
58,82,Invalides,Charles de Gaulle Étoile,"48.85350,2.34088",01/07/2025 09:06
58,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84645,2.35669",01/07/2025 09:11
58,82,Bois de Boulogne,Neuilly,"48.85692,2.35924",01/07/2025 09:16
59,82,Luxembourg,Montparnasse,"48.84676,2.34818",01/07/2025 08:59
59,82,Montparnasse,Invalides,"48.84042,2.34966",01/07/2025 09:04
59,82,Invalides,Charles de Gaulle Étoile,"48.85547,2.34815",01/07/2025 09:09
59,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.84066,2.34482",01/07/2025 09:14
59,82,Bois de Boulogne,Neuilly,"48.84943,2.34173",01/07/2025 09:19
60,82,Luxembourg,Montparnasse,"48.84223,2.35429",01/07/2025 09:02
60,82,Montparnasse,Invalides,"48.85448,2.35183",01/07/2025 09:07
60,82,Invalides,Charles de Gaulle Étoile,"48.85133,2.34372",01/07/2025 09:12
60,82,Charles de Gaulle Étoile,Bois de Boulogne,"48.85036,2.34649",01/07/2025 09:17
60,82,Bois de Boulogne,Neuilly,"48.85427,2.34391",01/07/2025 09:22
61,91,Bastille,Gare de Lyon,"48.85616,2.34932",01/07/2025 09:05
61,91,Gare de Lyon,Place d'Italie,"48.85692,2.34300",01/07/2025 09:10
61,91,Place d'Italie,Raspail,"48.84520,2.34869",01/07/2025 09:15
61,91,Raspail,Gare Montparnasse,"48.84059,2.34560",01/07/2025 09:20
61,91,Gare Montparnasse,Montparnasse,"48.84043,2.35828",01/07/2025 09:25
62,91,Bastille,Gare de Lyon,"48.85601,2.35878",01/07/2025 09:08
62,91,Gare de Lyon,Place d'Italie,"48.85426,2.34137",01/07/2025 09:13
62,91,Place d'Italie,Raspail,"48.85537,2.34442",01/07/2025 09:18
62,91,Raspail,Gare Montparnasse,"48.84188,2.35218",01/07/2025 09:23
62,91,Gare Montparnasse,Montparnasse,"48.84728,2.34693",01/07/2025 09:28
63,91,Bastille,Gare de Lyon,"48.85613,2.35300",01/07/2025 09:11
63,91,Gare de Lyon,Place d'Italie,"48.85839,2.34898",01/07/2025 09:16
63,91,Place d'Italie,Raspail,"48.84580,2.35996",01/07/2025 09:21
63,91,Raspail,Gare Montparnasse,"48.84765,2.34468",01/07/2025 09:26
63,91,Gare Montparnasse,Montparnasse,"48.84446,2.34806",01/07/2025 09:31
64,91,Bastille,Gare de Lyon,"48.85042,2.35647",01/07/2025 09:14
64,91,Gare de Lyon,Place d'Italie,"48.84546,2.34488",01/07/2025 09:19
64,91,Place d'Italie,Raspail,"48.85744,2.35160",01/07/2025 09:24
64,91,Raspail,Gare Montparnasse,"48.84391,2.35830",01/07/2025 09:29
64,91,Gare Montparnasse,Montparnasse,"48.85315,2.34783",01/07/2025 09:34
65,91,Bastille,Gare de Lyon,"48.84513,2.34847",01/07/2025 09:17
65,91,Gare de Lyon,Place d'Italie,"48.84758,2.35872",01/07/2025 09:22
65,91,Place d'Italie,Raspail,"48.85076,2.34984",01/07/2025 09:27
65,91,Raspail,Gare Montparnasse,"48.85554,2.35132",01/07/2025 09:32
65,91,Gare Montparnasse,Montparnasse,"48.84777,2.35461",01/07/2025 09:37
66,91,Bastille,Gare de Lyon,"48.85384,2.35334",01/07/2025 09:20
66,91,Gare de Lyon,Place d'Italie,"48.85306,2.35866",01/07/2025 09:25
66,91,Place d'Italie,Raspail,"48.85693,2.34654",01/07/2025 09:30
66,91,Raspail,Gare Montparnasse,"48.84755,2.35754",01/07/2025 09:35
66,91,Gare Montparnasse,Montparnasse,"48.84037,2.34193",01/07/2025 09:40
67,91,Bastille,Gare de Lyon,"48.84208,2.34631",01/07/2025 09:23
67,91,Gare de Lyon,Place d'Italie,"48.85261,2.35624",01/07/2025 09:28
