id_bus,ligne,gare_depart,gare_retard,heure_arrivee_prevue,heure_arrivee_reelle
23,47,Fort du Kremlin,Hôtel de Ville,08:43,08:54
24,47,Fort du Kremlin,Ivry,08:58,09:13
24,47,Fort du Kremlin,Gare d'Austerlitz,08:41,08:46
24,47,Fort du Kremlin,Ivry,08:24,08:28
24,47,Fort du Kremlin,Place d'Italie,08:07,08:19
25,47,Fort du Kremlin,Place d'Italie,08:29,08:33
25,47,Fort du Kremlin,Châtelet,08:53,08:56
25,47,Fort du Kremlin,Ivry,08:12,08:27
26,47,Fort du Kremlin,Hôtel de Ville,08:19,08:26
26,47,Fort du Kremlin,Place d'Italie,08:20,08:30
26,47,Fort du Kremlin,Place d'Italie,08:09,08:11
27,47,Fort du Kremlin,Hôtel de Ville,08:53,09:08
27,47,Fort du Kremlin,Gare d'Austerlitz,08:36,08:38
27,47,Fort du Kremlin,Place d'Italie,08:20,08:29
27,47,Fort du Kremlin,Place d'Italie,08:15,08:24
27,47,Fort du Kremlin,Châtelet,08:58,09:00
27,47,Fort du Kremlin,Châtelet,08:08,08:20
28,47,Fort du Kremlin,Châtelet,08:30,08:41
28,47,Fort du Kremlin,Ivry,08:25,08:33
28,47,Fort du Kremlin,Place d'Italie,08:43,08:51
28,47,Fort du Kremlin,Place d'Italie,08:24,08:27
29,47,Fort du Kremlin,Place d'Italie,08:21,08:35
29,47,Fort du Kremlin,Châtelet,08:04,08:19
29,47,Fort du Kremlin,Gare d'Austerlitz,08:26,08:29
29,47,Fort du Kremlin,Ivry,08:29,08:42
30,47,Fort du Kremlin,Hôtel de Ville,08:15,08:28
30,47,Fort du Kremlin,Ivry,08:51,08:52
30,47,Fort du Kremlin,Place d'Italie,08:33,08:34
30,47,Fort du Kremlin,Gare d'Austerlitz,08:37,08:42
30,47,Fort du Kremlin,Ivry,08:57,09:03
31,63,Porte de la Muette,La Muette,08:29,08:44
31,63,Porte de la Muette,La Muette,08:30,08:43
31,63,Porte de la Muette,Invalides,08:41,08:49
31,63,Porte de la Muette,Gare de Lyon,08:24,08:36
31,63,Porte de la Muette,Trocadéro,08:54,08:58
31,63,Porte de la Muette,La Muette,08:50,09:02
32,63,Porte de la Muette,Trocadéro,08:36,08:47
32,63,Porte de la Muette,La Muette,08:58,09:05
32,63,Porte de la Muette,Gare d'Austerlitz,08:42,08:53
32,63,Porte de la Muette,Gare de Lyon,08:26,08:31
33,63,Porte de la Muette,Gare de Lyon,08:01,08:16
33,63,Porte de la Muette,Gare de Lyon,08:33,08:43
33,63,Porte de la Muette,Invalides,08:22,08:33
34,63,Porte de la Muette,La Muette,08:54,08:55
34,63,Porte de la Muette,Trocadéro,08:54,09:00
34,63,Porte de la Muette,Gare de Lyon,08:09,08:16
34,63,Porte de la Muette,La Muette,08:18,08:27
35,63,Porte de la Muette,Gare de Lyon,08:11,08:14
35,63,Porte de la Muette,Gare d'Austerlitz,08:40,08:54
35,63,Porte de la Muette,Gare de Lyon,08:32,08:46
35,63,Porte de la Muette,Trocadéro,08:12,08:13
35,63,Porte de la Muette,Invalides,08:24,08:37
35,63,Porte de la Muette,Trocadéro,08:58,09:00
36,63,Porte de la Muette,Trocadéro,08:33,08:35
36,63,Porte de la Muette,Gare de Lyon,08:04,08:05
36,63,Porte de la Muette,Gare d'Austerlitz,08:48,08:53
36,63,Porte de la Muette,Invalides,08:28,08:41
36,63,Porte de la Muette,La Muette,08:49,09:01
36,63,Porte de la Muette,La Muette,08:04,08:17
37,63,Porte de la Muette,La Muette,08:26,08:39
37,63,Porte de la Muette,Gare d'Austerlitz,08:13,08:22
37,63,Porte de la Muette,Invalides,08:58,09:03
37,63,Porte de la Muette,Gare d'Austerlitz,08:34,08:46
37,63,Porte de la Muette,Trocadéro,08:41,08:54
37,63,Porte de la Muette,La Muette,08:58,09:01
38,63,Porte de la Muette,Invalides,08:40,08:54
38,63,Porte de la Muette,Gare de Lyon,08:40,08:50
38,63,Porte de la Muette,La Muette,08:34,08:38
38,63,Porte de la Muette,Trocadéro,08:31,08:39
39,63,Porte de la Muette,Gare d'Austerlitz,08:51,09:05
39,63,Porte de la Muette,Trocadéro,08:53,08:55
39,63,Porte de la Muette,La Muette,08:26,08:37
40,63,Porte de la Muette,Gare de Lyon,08:25,08:29
40,63,Porte de la Muette,Invalides,08:33,08:45
40,63,Porte de la Muette,Gare de Lyon,08:55,09:05
41,72,Hôtel de Ville,Musée du quai Branly,08:10,08:20
41,72,Hôtel de Ville,Parc de Saint-Cloud,08:59,09:14
41,72,Hôtel de Ville,Pont Mirabeau,08:21,08:25
41,72,Hôtel de Ville,Pont de l'Alma,08:22,08:35
41,72,Hôtel de Ville,Musée du quai Branly,08:36,08:43
42,72,Hôtel de Ville,Parc de Saint-Cloud,08:58,09:05
42,72,Hôtel de Ville,Pont de l'Alma,08:57,09:12
42,72,Hôtel de Ville,Pont de l'Alma,08:28,08:33
42,72,Hôtel de Ville,Pont Mirabeau,08:43,08:55
43,72,Hôtel de Ville,Pont Mirabeau,08:19,08:20
43,72,Hôtel de Ville,Musée du quai Branly,08:32,08:39
43,72,Hôtel de Ville,Pont Mirabeau,08:07,08:18
43,72,Hôtel de Ville,Concorde,08:21,08:29
43,72,Hôtel de Ville,Musée du quai Branly,08:50,09:03
44,72,Hôtel de Ville,Parc de Saint-Cloud,08:01,08:02
44,72,Hôtel de Ville,Parc de Saint-Cloud,08:55,09:07
44,72,Hôtel de Ville,Pont de l'Alma,08:05,08:16
44,72,Hôtel de Ville,Musée du quai Branly,08:14,08:27
44,72,Hôtel de Ville,Musée du quai Branly,08:07,08:15
45,72,Hôtel de Ville,Concorde,08:05,08:15
45,72,Hôtel de Ville,Pont de l'Alma,08:29,08:32
45,72,Hôtel de Ville,Pont de l'Alma,08:19,08:28
45,72,Hôtel de Ville,Musée du quai Branly,08:54,08:59
46,72,Hôtel de Ville,Pont de l'Alma,08:08,08:13
46,72,Hôtel de Ville,Pont Mirabeau,08:15,08:26
46,72,Hôtel de Ville,Parc de Saint-Cloud,08:11,08:20
46,72,Hôtel de Ville,Pont de l'Alma,08:16,08:23
46,72,Hôtel de Ville,Pont Mirabeau,08:31,08:40
46,72,Hôtel de Ville,Musée du quai Branly,08:37,08:42
47,72,Hôtel de Ville,Parc de Saint-Cloud,08:38,08:41
47,72,Hôtel de Ville,Concorde,08:24,08:25
47,72,Hôtel de Ville,Pont de l'Alma,08:22,08:30
48,72,Hôtel de Ville,Parc de Saint-Cloud,08:43,08:46
48,72,Hôtel de Ville,Pont Mirabeau,08:16,08:18
48,72,Hôtel de Ville,Musée du quai Branly,08:18,08:23
48,72,Hôtel de Ville,Parc de Saint-Cloud,08:03,08:16
49,72,Hôtel de Ville,Pont Mirabeau,08:40,08:45
49,72,Hôtel de Ville,Pont Mirabeau,08:07,08:09
49,72,Hôtel de Ville,Parc de Saint-Cloud,08:53,09:01
49,72,Hôtel de Ville,Concorde,08:30,08:34
49,72,Hôtel de Ville,Concorde,08:15,08:25
50,72,Hôtel de Ville,Pont Mirabeau,08:45,08:53
50,72,Hôtel de Ville,Pont Mirabeau,08:00,08:09
50,72,Hôtel de Ville,Concorde,08:37,08:45
51,82,Luxembourg,Charles de Gaulle Étoile,08:15,08:29
51,82,Luxembourg,Charles de Gaulle Étoile,08:35,08:38
51,82,Luxembourg,Montparnasse,08:28,08:34
51,82,Luxembourg,Bois de Boulogne,08:27,08:40
51,82,Luxembourg,Montparnasse,08:07,08:16
52,82,Luxembourg,Invalides,08:19,08:20
52,82,Luxembourg,Invalides,08:57,09:06
52,82,Luxembourg,Neuilly,08:14,08:27
52,82,Luxembourg,Charles de Gaulle Étoile,08:50,09:01
52,82,Luxembourg,Bois de Boulogne,08:49,08:57
52,82,Luxembourg,Invalides,08:54,09:05
53,82,Luxembourg,Neuilly,08:27,08:41
53,82,Luxembourg,Charles de Gaulle Étoile,08:08,08:13
53,82,Luxembourg,Charles de Gaulle Étoile,08:32,08:44
54,82,Luxembourg,Bois de Boulogne,08:13,08:18
54,82,Luxembourg,Bois de Boulogne,08:27,08:28
54,82,Luxembourg,Neuilly,08:31,08:32
54,82,Luxembourg,Montparnasse,08:18,08:30
54,82,Luxembourg,Montparnasse,08:36,08:40
54,82,Luxembourg,Bois de Boulogne,08:00,08:02
55,82,Luxembourg,Invalides,08:46,08:56
55,82,Luxembourg,Montparnasse,08:30,08:44
55,82,Luxembourg,Neuilly,08:47,08:54
55,82,Luxembourg,Charles de Gaulle Étoile,08:59,09:14
55,82,Luxembourg,Invalides,08:48,08:56
56,82,Luxembourg,Charles de Gaulle Étoile,08:54,09:00
56,82,Luxembourg,Montparnasse,08:24,08:31
56,82,Luxembourg,Invalides,08:50,08:54
57,82,Luxembourg,Montparnasse,08:24,08:33
57,82,Luxembourg,Invalides,08:36,08:43
57,82,Luxembourg,Montparnasse,08:15,08:23
57,82,Luxembourg,Charles de Gaulle Étoile,08:32,08:41
58,82,Luxembourg,Neuilly,08:46,08:50
58,82,Luxembourg,Invalides,08:52,09:04
58,82,Luxembourg,Charles de Gaulle Étoile,08:30,08:31
59,82,Luxembourg,Invalides,08:29,08:39
59,82,Luxembourg,Charles de Gaulle Étoile,08:09,08:18
59,82,Luxembourg,Montparnasse,08:10,08:24
60,82,Luxembourg,Bois de Boulogne,08:11,08:17
60,82,Luxembourg,Charles de Gaulle Étoile,08:46,08:49
60,82,Luxembourg,Charles de Gaulle Étoile,08:50,08:59
61,91,Bastille,Gare de Lyon,08:10,08:21
61,91,Bastille,Raspail,08:53,09:08
61,91,Bastille,Gare de Lyon,08:14,08:26
62,91,Bastille,Place d'Italie,08:13,08:19
62,91,Bastille,Gare de Lyon,08:53,09:05
62,91,Bastille,Place d'Italie,08:44,08:58
62,91,Bastille,Place d'Italie,08:14,08:16
63,91,Bastille,Raspail,08:07,08:13
63,91,Bastille,Gare de Lyon,08:15,08:25
63,91,Bastille,Place d'Italie,08:22,08:37
63,91,Bastille,Montparnasse,08:48,08:52
63,91,Bastille,Raspail,08:29,08:32
63,91,Bastille,Gare de Lyon,08:47,08:59
64,91,Bastille,Place d'Italie,08:30,08:35
64,91,Bastille,Place d'Italie,08:01,08:12
64,91,Bastille,Gare de Lyon,08:53,09:07
64,91,Bastille,Place d'Italie,08:09,08:23
65,91,Bastille,Montparnasse,08:51,09:05
65,91,Bastille,Gare de Lyon,08:31,08:38
65,91,Bastille,Montparnasse,08:28,08:41
65,91,Bastille,Raspail,08:22,08:35
65,91,Bastille,Gare de Lyon,08:22,08:24
66,91,Bastille,Montparnasse,08:41,08:44
66,91,Bastille,Place d'Italie,08:54,09:05
66,91,Bastille,Gare de Lyon,08:58,09:06
66,91,Bastille,Montparnasse,08:59,09:01
66,91,Bastille,Gare de Lyon,08:13,08:16
67,91,Bastille,Montparnasse,08:50,08:56
67,91,Bastille,Gare Montparnasse,08:03,08:05
67,91,Bastille,Montparnasse,08:40,08:49
67,91,Bastille,Place d'Italie,08:39,08:49
68,91,Bastille,Gare Montparnasse,08:53,08:58
68,91,Bastille,Montparnasse,08:04,08:16
68,91,Bastille,Place d'Italie,08:36,08:49
68,91,Bastille,Montparnasse,08:47,08:52
68,91,Bastille,Gare Montparnasse,08:04,08:19
69,91,Bastille,Gare de Lyon,08:26,08:35
69,91,Bastille,Montparnasse,08:35,08:49
69,91,Bastille,Gare Montparnasse,08:01,08:08
69,91,Bastille,Gare de Lyon,08:22,08:24
69,91,Bastille,Montparnasse,08:37,08:48
69,91,Bastille,Place d'Italie,08:22,08:34
70,91,Bastille,Gare de Lyon,08:22,08:30
70,91,Bastille,Gare de Lyon,08:07,08:16
70,91,Bastille,Raspail,08:14,08:15
70,91,Bastille,Montparnasse,08:43,08:56
71,96,Gare Montparnasse,République,08:41,08:55
71,96,Gare Montparnasse,Porte des Lilas,08:03,08:14
71,96,Gare Montparnasse,Odéon,08:30,08:33
72,96,Gare Montparnasse,Odéon,08:38,08:44
72,96,Gare Montparnasse,Odéon,08:21,08:24
72,96,Gare Montparnasse,Porte des Lilas,08:02,08:08
72,96,Gare Montparnasse,Ménilmontant,08:21,08:26
72,96,Gare Montparnasse,Hôtel de Ville,08:11,08:19
72,96,Gare Montparnasse,Ménilmontant,08:45,08:51
73,96,Gare Montparnasse,Odéon,08:41,08:43
73,96,Gare Montparnasse,Odéon,08:34,08:46
73,96,Gare Montparnasse,République,08:17,08:26
73,96,Gare Montparnasse,République,08:48,09:02
73,96,Gare Montparnasse,République,08:27,08:28
74,96,Gare Montparnasse,Ménilmontant,08:42,08:53
74,96,Gare Montparnasse,Porte des Lilas,08:09,08:22
74,96,Gare Montparnasse,Hôtel de Ville,08:16,08:27
74,96,Gare Montparnasse,Ménilmontant,08:55,08:57
74,96,Gare Montparnasse,République,08:57,09:04
75,96,Gare Montparnasse,Hôtel de Ville,08:11,08:14
75,96,Gare Montparnasse,Porte des Lilas,08:35,08:41
75,96,Gare Montparnasse,République,08:53,08:56
75,96,Gare Montparnasse,Porte des Lilas,08:36,08:47
75,96,Gare Montparnasse,Ménilmontant,08:21,08:29
75,96,Gare Montparnasse,Porte des Lilas,08:30,08:32
76,96,Gare Montparnasse,Hôtel de Ville,08:52,09:06
76,96,Gare Montparnasse,République,08:22,08:27
76,96,Gare Montparnasse,Odéon,08:15,08:20
76,96,Gare Montparnasse,Hôtel de Ville,08:59,09:09
77,96,Gare Montparnasse,Ménilmontant,08:13,08:16
77,96,Gare Montparnasse,Porte des Lilas,08:51,08:59
77,96,Gare Montparnasse,Porte des Lilas,08:27,08:29
77,96,Gare Montparnasse,Odéon,08:48,08:55
77,96,Gare Montparnasse,Hôtel de Ville,08:25,08:40
77,96,Gare Montparnasse,Odéon,08:14,08:22
78,96,Gare Montparnasse,République,08:00,08:09
78,96,Gare Montparnasse,Odéon,08:28,08:42
78,96,Gare Montparnasse,Porte des Lilas,08:28,08:31
78,96,Gare Montparnasse,Ménilmontant,08:20,08:28
78,96,Gare Montparnasse,République,08:35,08:44
79,96,Gare Montparnasse,République,08:16,08:29
79,96,Gare Montparnasse,Hôtel de Ville,08:34,08:39
79,96,Gare Montparnasse,Ménilmontant,08:52,09:02
79,96,Gare Montparnasse,Hôtel de Ville,08:48,09:00
79,96,Gare Montparnasse,Ménilmontant,08:52,09:00
79,96,Gare Montparnasse,Ménilmontant,08:06,08:09
80,96,Gare Montparnasse,Porte des Lilas,08:28,08:33
80,96,Gare Montparnasse,Odéon,08:26,08:31
80,96,Gare Montparnasse,Hôtel de Ville,08:32,08:43
80,96,Gare Montparnasse,Porte des Lilas,08:49,09:02
80,96,Gare Montparnasse,République,08:26,08:37
80,96,Gare Montparnasse,Ménilmontant,08:37,08:39
81,27,Gare Saint-Lazare,Gare d'Austerlitz,08:01,08:11
81,27,Gare Saint-Lazare,Opéra,08:16,08:19
81,27,Gare Saint-Lazare,Châtelet,08:42,08:54
81,27,Gare Saint-Lazare,Porte d’Ivry,08:38,08:46
81,27,Gare Saint-Lazare,Châtelet,08:24,08:30
81,27,Gare Saint-Lazare,Gare d'Austerlitz,08:45,08:58
82,27,Gare Saint-Lazare,Gare d'Austerlitz,08:48,09:02
82,27,Gare Saint-Lazare,Opéra,08:21,08:22
82,27,Gare Saint-Lazare,Opéra,08:57,09:02
82,27,Gare Saint-Lazare,Opéra,08:26,08:31
82,27,Gare Saint-Lazare,Opéra,08:25,08:27
82,27,Gare Saint-Lazare,Bibliothèque,08:12,08:14
83,27,Gare Saint-Lazare,Châtelet,08:49,08:50
83,27,Gare Saint-Lazare,Opéra,08:23,08:28
83,27,Gare Saint-Lazare,Opéra,08:08,08:09
83,27,Gare Saint-Lazare,Porte d’Ivry,08:04,08:06
83,27,Gare Saint-Lazare,Châtelet,08:36,08:44
84,27,Gare Saint-Lazare,Opéra,08:07,08:14
84,27,Gare Saint-Lazare,Porte d’Ivry,08:19,08:33
84,27,Gare Saint-Lazare,Opéra,08:34,08:42
84,27,Gare Saint-Lazare,Châtelet,08:54,09:01
84,27,Gare Saint-Lazare,Opéra,08:31,08:42
84,27,Gare Saint-Lazare,Opéra,08:12,08:20
85,27,Gare Saint-Lazare,Bibliothèque,08:02,08:09
85,27,Gare Saint-Lazare,Gare d'Austerlitz,08:07,08:10
85,27,Gare Saint-Lazare,Gare d'Austerlitz,08:31,08:45
85,27,Gare Saint-Lazare,Châtelet,08:03,08:10
85,27,Gare Saint-Lazare,Gare d'Austerlitz,08:26,08:31
86,27,Gare Saint-Lazare,Opéra,08:39,08:49
86,27,Gare Saint-Lazare,Opéra,08:40,08:43
86,27,Gare Saint-Lazare,Bibliothèque,08:23,08:38
86,27,Gare Saint-Lazare,Opéra,08:14,08:25
86,27,Gare Saint-Lazare,Gare d'Austerlitz,08:55,09:07
86,27,Gare Saint-Lazare,Bibliothèque,08:37,08:42
87,27,Gare Saint-Lazare,Châtelet,08:36,08:43
87,27,Gare Saint-Lazare,Opéra,08:17,08:26
87,27,Gare Saint-Lazare,Bibliothèque,08:56,09:09
87,27,Gare Saint-Lazare,Gare d'Austerlitz,08:55,09:05
87,27,Gare Saint-Lazare,Châtelet,08:42,08:43
87,27,Gare Saint-Lazare,Bibliothèque,08:04,08:06
88,27,Gare Saint-Lazare,Opéra,08:42,08:52
88,27,Gare Saint-Lazare,Bibliothèque,08:50,08:58
88,27,Gare Saint-Lazare,Gare d'Austerlitz,08:25,08:36
88,27,Gare Saint-Lazare,Opéra,08:05,08:17
88,27,Gare Saint-Lazare,Bibliothèque,08:42,08:57
88,27,Gare Saint-Lazare,Châtelet,08:10,08:12
89,27,Gare Saint-Lazare,Opéra,08:08,08:20
89,27,Gare Saint-Lazare,Porte d’Ivry,08:58,08:59
89,27,Gare Saint-Lazare,Porte d’Ivry,08:43,08:51
90,27,Gare Saint-Lazare,Bibliothèque,08:57,09:10
90,27,Gare Saint-Lazare,Bibliothèque,08:04,08:11
90,27,Gare Saint-Lazare,Opéra,08:09,08:15
90,27,Gare Saint-Lazare,Porte d’Ivry,08:21,08:23
90,27,Gare Saint-Lazare,Châtelet,08:56,09:07
91,69,Champ de Mars,Gambetta,08:07,08:21
91,69,Champ de Mars,Louvre,08:55,09:00
91,69,Champ de Mars,Gambetta,08:00,08:01
91,69,Champ de Mars,Bastille,08:27,08:30
91,69,Champ de Mars,Père Lachaise,08:12,08:18
91,69,Champ de Mars,Gambetta,08:14,08:27
92,69,Champ de Mars,Louvre,08:41,08:45
92,69,Champ de Mars,Gambetta,08:09,08:17
92,69,Champ de Mars,Bastille,08:06,08:13
93,69,Champ de Mars,Invalides,08:41,08:50
93,69,Champ de Mars,Gambetta,08:05,08:15
93,69,Champ de Mars,Père Lachaise,08:09,08:11
93,69,Champ de Mars,Père Lachaise,08:24,08:29
93,69,Champ de Mars,Louvre,08:30,08:32
93,69,Champ de Mars,Gambetta,08:23,08:29
94,69,Champ de Mars,Louvre,08:52,08:56
94,69,Champ de Mars,Père Lachaise,08:08,08:11
94,69,Champ de Mars,Père Lachaise,08:03,08:17
94,69,Champ de Mars,Père Lachaise,08:13,08:16
95,69,Champ de Mars,Bastille,08:44,08:45
95,69,Champ de Mars,Invalides,08:11,08:19
95,69,Champ de Mars,Gambetta,08:42,08:44
95,69,Champ de Mars,Père Lachaise,08:21,08:30
96,69,Champ de Mars,Gambetta,08:38,08:40
96,69,Champ de Mars,Gambetta,08:47,08:49
96,69,Champ de Mars,Père Lachaise,08:43,08:53
97,69,Champ de Mars,Gambetta,08:58,09:02
97,69,Champ de Mars,Louvre,08:11,08:17
97,69,Champ de Mars,Bastille,08:41,08:49
97,69,Champ de Mars,Père Lachaise,08:04,08:07
97,69,Champ de Mars,Bastille,08:49,08:50
97,69,Champ de Mars,Louvre,08:19,08:29
98,69,Champ de Mars,Père Lachaise,08:32,08:39
98,69,Champ de Mars,Bastille,08:24,08:39
98,69,Champ de Mars,Bastille,08:25,08:35
99,69,Champ de Mars,Bastille,08:39,08:42
99,69,Champ de Mars,Bastille,08:10,08:24
99,69,Champ de Mars,Père Lachaise,08:31,08:41
99,69,Champ de Mars,Gambetta,08:20,08:33
99,69,Champ de Mars,Louvre,08:13,08:25
100,69,Champ de Mars,Père Lachaise,08:43,08:55
100,69,Champ de Mars,Invalides,08:31,08:44
100,69,Champ de Mars,Père Lachaise,08:16,08:17
100,69,Champ de Mars,Gambetta,08:15,08:28
100,69,Champ de Mars,Père Lachaise,08:14,08:25
101,24,Pont Neuf,Odéon,08:02,08:03
101,24,Pont Neuf,Invalides,08:31,08:43
101,24,Pont Neuf,Invalides,08:30,08:36
101,24,Pont Neuf,École Militaire,08:06,08:16
101,24,Pont Neuf,Invalides,08:08,08:20
101,24,Pont Neuf,Odéon,08:29,08:35
102,24,Pont Neuf,Invalides,08:41,08:49
102,24,Pont Neuf,Châtelet,08:35,08:36
102,24,Pont Neuf,Odéon,08:09,08:15
103,24,Pont Neuf,École Militaire,08:13,08:18
103,24,Pont Neuf,Odéon,08:13,08:19
103,24,Pont Neuf,École Militaire,08:39,08:43
103,24,Pont Neuf,Invalides,08:06,08:08
104,24,Pont Neuf,Invalides,08:45,08:47
104,24,Pont Neuf,Odéon,08:31,08:35
104,24,Pont Neuf,Odéon,08:51,08:54
104,24,Pont Neuf,Odéon,08:50,08:52
104,24,Pont Neuf,Châtelet,08:06,08:12
105,24,Pont Neuf,Invalides,08:34,08:41
105,24,Pont Neuf,École Militaire,08:34,08:42
105,24,Pont Neuf,Châtelet,08:08,08:16
105,24,Pont Neuf,École Militaire,08:37,08:43
106,24,Pont Neuf,Châtelet,08:51,08:54
106,24,Pont Neuf,École Militaire,08:17,08:27
106,24,Pont Neuf,Odéon,08:19,08:31
107,24,Pont Neuf,Châtelet,08:20,08:22
107,24,Pont Neuf,Châtelet,08:16,08:28
107,24,Pont Neuf,École Militaire,08:46,08:49
107,24,Pont Neuf,Odéon,08:42,08:45
107,24,Pont Neuf,Odéon,08:13,08:19
107,24,Pont Neuf,Châtelet,08:55,09:00
108,24,Pont Neuf,Châtelet,08:55,09:03
108,24,Pont Neuf,École Militaire,08:28,08:29
108,24,Pont Neuf,Châtelet,08:57,08:59
108,24,Pont Neuf,Châtelet,08:00,08:14
