ligne,nom_arret,placement_gare,heure_passage,ordre_arret
91,Gobelins,Arrêt 3 - Ligne 91,2025-07-01 09:30:00,3
91,Glacière,Arrêt 4 - Ligne 91,2025-07-01 09:36:00,4
91,Raspail,Arrêt 5 - Ligne 91,2025-07-01 09:40:00,5
91,Montparnasse,Arrêt 6 - Ligne 91,2025-07-01 09:44:00,6
96,Gare Montparnasse,Arrêt 1 - Ligne 96,2025-07-01 06:19:00,1
96,Rennes,Arrêt 2 - Ligne 96,2025-07-01 06:24:00,2
96,Saint-Germain-des-Prés,Arrêt 3 - Ligne 96,2025-07-01 06:25:00,3
96,Odéon,Arrêt 4 - Ligne 96,2025-07-01 06:34:00,4
96,République,Arrêt 5 - Ligne 96,2025-07-01 06:35:00,5
96,Porte des Lilas,Arrêt 6 - Ligne 96,2025-07-01 06:44:00,6
27,Gare Saint-Lazare,Arrêt 1 - Ligne 27,2025-07-01 08:12:00,1
27,Opéra,Arrêt 2 - Ligne 27,2025-07-01 08:16:00,2
27,Pyramides,Arrêt 3 - Ligne 27,2025-07-01 08:18:00,3
27,Châtelet,Arrêt 4 - Ligne 27,2025-07-01 08:27:00,4
27,Quai de la Rapée,Arrêt 5 - Ligne 27,2025-07-01 08:28:00,5
27,Porte d’Ivry,Arrêt 6 - Ligne 27,2025-07-01 08:27:00,6
69,Champ de Mars,Arrêt 1 - Ligne 69,2025-07-01 08:01:00,1
69,Invalides,Arrêt 2 - Ligne 69,2025-07-01 08:04:00,2
69,Assemblée Nationale,Arrêt 3 - Ligne 69,2025-07-01 08:07:00,3
69,Musée du Louvre,Arrêt 4 - Ligne 69,2025-07-01 08:10:00,4
69,Bastille,Arrêt 5 - Ligne 69,2025-07-01 08:17:00,5
69,Gambetta,Arrêt 6 - Ligne 69,2025-07-01 08:26:00,6
24,Pont Neuf,Arrêt 1 - Ligne 24,2025-07-01 09:26:00,1
24,Hôtel de Ville,Arrêt 2 - Ligne 24,2025-07-01 09:31:00,2
24,Bastille,Arrêt 3 - Ligne 24,2025-07-01 09:34:00,3
24,Nation,Arrêt 4 - Ligne 24,2025-07-01 09:41:00,4
24,Montgallet,Arrêt 5 - Ligne 24,2025-07-01 09:42:00,5
24,École Militaire,Arrêt 6 - Ligne 24,2025-07-01 09:46:00,6
52,La Muette,Arrêt 1 - Ligne 52,2025-07-01 08:43:00,1
52,Rue de la Pompe,Arrêt 2 - Ligne 52,2025-07-01 08:46:00,2
52,Trocadéro,Arrêt 3 - Ligne 52,2025-07-01 08:53:00,3
52,Iéna,Arrêt 4 - Ligne 52,2025-07-01 08:52:00,4
52,Madeleine,Arrêt 5 - Ligne 52,2025-07-01 08:55:00,5
52,Opéra,Arrêt 6 - Ligne 52,2025-07-01 09:08:00,6
73,La Défense,Arrêt 1 - Ligne 73,2025-07-01 08:52:00,1
73,Neuilly,Arrêt 2 - Ligne 73,2025-07-01 08:55:00,2
73,Porte Maillot,Arrêt 3 - Ligne 73,2025-07-01 08:58:00,3
73,Charles de Gaulle - Étoile,Arrêt 4 - Ligne 73,2025-07-01 09:07:00,4
73,Champs-Élysées,Arrêt 5 - Ligne 73,2025-07-01 09:08:00,5
73,Musée d'Orsay,Arrêt 6 - Ligne 73,2025-07-01 09:17:00,6
30,Porte Maillot,Arrêt 1 - Ligne 30,2025-07-01 07:41:00,1
30,Ternes,Arrêt 2 - Ligne 30,2025-07-01 07:44:00,2
30,Place Clichy,Arrêt 3 - Ligne 30,2025-07-01 07:51:00,3
30,Barbès,Arrêt 4 - Ligne 30,2025-07-01 07:56:00,4
30,Gare du Nord,Arrêt 5 - Ligne 30,2025-07-01 08:01:00,5
30,Gare de l'Est,Arrêt 6 - Ligne 30,2025-07-01 07:56:00,6
87,Gare de Lyon,Arrêt 1 - Ligne 87,2025-07-01 09:38:00,1
87,Bercy,Arrêt 2 - Ligne 87,2025-07-01 09:43:00,2
87,Bibliothèque F. Mitterrand,Arrêt 3 - Ligne 87,2025-07-01 09:44:00,3
87,Olympiades,Arrêt 4 - Ligne 87,2025-07-01 09:50:00,4
87,Tolbiac,Arrêt 5 - Ligne 87,2025-07-01 09:50:00,5
87,Maison Blanche,Arrêt 6 - Ligne 87,2025-07-01 10:03:00,6
